"Model","Forecasts","MAE","RMSE","Bias","MASE","Average_Origin_RMSE","SD_Origin_RMSE","Worst_Origin_RMSE"
"Historical Growth",95,1.60744408652535,2.05920111038315,-1.30848508809799,3.32356359354158,1.80748829933649,1.01359124882581,4.16129528458531
"Drift",95,2.08051178155583,2.67412747240204,-1.91325650387625,4.21770670450664,2.36017287577982,1.29164608514103,5.24540450973519
"ARIMA(0,1,1)",95,2.23947010164445,2.91789542213735,-2.02834692379854,4.56395325031437,2.53703840127787,1.48086774588527,6.5490312151492
"ARIMA(1,1,1)",95,2.40276969431872,3.08604234145195,-2.25716117389139,4.86426861528513,2.71809109275606,1.50142755679706,6.47026394467299
"ARIMA(2,1,2)",95,2.58950525751965,3.31420086178618,-2.50051392317817,5.2062384742349,2.91667021862083,1.61696357365376,6.57520255936333
"Naive",95,2.66756557894737,3.36246174507333,-2.58019063157895,5.39139093843783,3.01460789308538,1.53020471619812,6.22452443810282
