"Model","AIC","AICc","BIC"
"ARIMA(1,1,0)",-104.085262247354,-103.84036428817,-100.182774810191
"ARIMA(0,1,1)",-107.7931077514,-107.548209792216,-103.890620314237
"ARIMA(1,1,1)",-107.99062607661,-107.49062607661,-102.136894920866
"ARIMA(2,1,2)",-107.210329689716,-105.905981863629,-97.454111096809
