"Year","Forecast","Lower_80","Upper_80","Lower_95","Upper_95"
2024,26.9812595384145,24.3164534163288,29.9380980365511,23.0140430546367,31.6323544086102
2025,26.6714391646794,22.2777574829152,31.9316550447565,20.2529428873456,35.1240642444939
2026,26.8302035382688,21.5895934091476,33.3429077733315,19.2434516084728,37.4080407481568
2027,26.8213348167429,20.8630042931142,34.4813235545973,18.2650523814778,39.3858164940899
2028,26.7543596697526,20.1269678025006,35.5640138327023,17.311706617336,41.3474983813372
